"filename", "language", "Dart", "YAML", "Markdown", "Properties", "XML", "Swift", "JSON", "C++", "comment", "blank", "total"
"/Users/hum/StudioProjects/budgetm/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 9, 1, 23
"/Users/hum/StudioProjects/budgetm/android/app/src/main/res/values-v31/styles.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 7, 1, 21
"/Users/hum/StudioProjects/budgetm/android/app/src/main/res/values/colors.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/hum/StudioProjects/budgetm/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 9, 1, 23
"/Users/hum/StudioProjects/budgetm/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"/Users/hum/StudioProjects/budgetm/android/gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/hum/StudioProjects/budgetm/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/Users/hum/StudioProjects/budgetm/devtools_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/hum/StudioProjects/budgetm/firebase.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/hum/StudioProjects/budgetm/flutter_launcher_icons.yaml", "YAML", 0, 10, 0, 0, 0, 0, 0, 0, 2, 2, 14
"/Users/hum/StudioProjects/budgetm/flutter_native_splash.yaml", "YAML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/hum/StudioProjects/budgetm/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/hum/StudioProjects/budgetm/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"/Users/hum/StudioProjects/budgetm/ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"/Users/hum/StudioProjects/budgetm/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"/Users/hum/StudioProjects/budgetm/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/hum/StudioProjects/budgetm/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 43, 0, 0, 0, 1, 1, 45
"/Users/hum/StudioProjects/budgetm/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"/Users/hum/StudioProjects/budgetm/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/Users/hum/StudioProjects/budgetm/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/hum/StudioProjects/budgetm/lib/auth_gate.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 11, 19, 116
"/Users/hum/StudioProjects/budgetm/lib/constants/appColors.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 1, 3, 33
"/Users/hum/StudioProjects/budgetm/lib/constants/goal_type_enum.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/hum/StudioProjects/budgetm/lib/constants/transaction_type_enum.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
